county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,5.0,7.2,169.92,Low,2022-09-01,1662015600
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,5.4,16.5,122.25,Medium,2022-09-01,1662015600
Kern County,06029,California,900202,807,"Kern, CA",900202,6.9,10.0,183.96,Medium,2022-09-01,1662015600
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,4.2,10.9,11.31,Medium,2022-09-01,1662015600
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,5.3,9.4,218.86,Medium,2022-09-01,1662015600
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,7.1,10.5,104.54,Medium,2022-09-01,1662015600
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.7,6.5,138.51,Low,2022-09-01,1662015600
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.9,5.8,130.79,Low,2022-09-01,1662015600
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,4.2,10.9,133.83,Medium,2022-09-01,1662015600
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,6.2,8.8,66.56,Low,2022-09-01,1662015600
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.9,11.8,128.86,Medium,2022-09-01,1662015600
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,5.7,12.8,132.14,Medium,2022-09-01,1662015600
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.6,14.2,207.20,High,2022-09-01,1662015600
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,3.0,5.3,177.15,Low,2022-09-01,1662015600
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,5.7,12.8,218.54,High,2022-09-01,1662015600
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.6,14.2,176.36,Medium,2022-09-01,1662015600
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,5.7,12.8,183.14,Medium,2022-09-01,1662015600
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.7,6.5,292.47,Medium,2022-09-01,1662015600
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,4.8,9.0,192.78,Low,2022-09-01,1662015600
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.1,15.4,347.68,High,2022-09-01,1662015600
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.9,11.8,120.16,Medium,2022-09-01,1662015600
Orange County,06059,California,3175692,825,"Orange, CA",3175692,4.5,10.9,125.08,Medium,2022-09-01,1662015600
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,4.7,8.2,247.28,Medium,2022-09-01,1662015600
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.6,14.2,219.65,High,2022-09-01,1662015600
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,7.4,13.0,87.98,Medium,2022-09-01,1662015600
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.5,7.9,152.63,Low,2022-09-01,1662015600
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.1,15.4,180.06,Medium,2022-09-01,1662015600
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,3.3,3.0,257.45,Medium,2022-09-01,1662015600
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,166.31,Low,2022-09-01,1662015600
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,7.1,10.5,178.61,Medium,2022-09-01,1662015600
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.9,13.3,156.95,Medium,2022-09-01,1662015600
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.9,13.3,264.69,High,2022-09-01,1662015600
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,34.62,Low,2022-09-01,1662015600
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,7.4,13.0,120.50,Medium,2022-09-01,1662015600
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,7.4,13.0,144.58,Medium,2022-09-01,1662015600
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,5.0,7.2,179.89,Low,2022-09-01,1662015600
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.9,5.8,137.89,Low,2022-09-01,1662015600
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,5.1,3.3,185.94,Low,2022-09-01,1662015600
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,7.1,10.5,144.31,Medium,2022-09-01,1662015600
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,4.2,10.9,97.68,Medium,2022-09-01,1662015600
Tulare County,06107,California,466195,789,"Tulare, CA",466195,8.6,8.8,300.30,Medium,2022-09-01,1662015600
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.4,6.6,94.95,Low,2022-09-08,1662620400
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.5,11.0,75.19,Medium,2022-09-08,1662620400
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.1,12.1,193.77,Medium,2022-09-08,1662620400
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,6.2,16.2,163.77,Medium,2022-09-08,1662620400
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.6,6.2,232.83,Medium,2022-09-08,1662620400
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,6.9,10.8,166.19,Medium,2022-09-08,1662620400
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.7,13.9,197.64,Medium,2022-09-08,1662620400
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.7,13.9,227.60,High,2022-09-08,1662620400
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.6,6.2,55.39,Low,2022-09-08,1662620400
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.5,11.0,80.84,Medium,2022-09-08,1662620400
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.5,11.0,126.80,Medium,2022-09-08,1662620400
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.2,7.0,149.05,Low,2022-09-08,1662620400
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.5,5.6,102.27,Low,2022-09-08,1662620400
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,3.7,2.2,146.41,Low,2022-09-08,1662620400
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,6.9,10.8,129.57,Medium,2022-09-08,1662620400
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,3.9,6.5,130.24,Low,2022-09-08,1662620400
Tulare County,06107,California,466195,789,"Tulare, CA",466195,8.1,5.6,254.83,Medium,2022-09-08,1662620400
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.2,7.0,93.67,Low,2022-09-08,1662620400
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,4.0,4.3,57.53,Low,2022-09-08,1662620400
Kern County,06029,California,900202,807,"Kern, CA",900202,6.1,10.0,240.39,High,2022-09-08,1662620400
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,3.9,6.5,33.93,Low,2022-09-08,1662620400
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.7,8.2,152.97,Low,2022-09-08,1662620400
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,6.9,10.8,103.09,Medium,2022-09-08,1662620400
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.5,7.8,122.91,Low,2022-09-08,1662620400
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.5,5.6,79.97,Low,2022-09-08,1662620400
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,3.9,6.5,102.73,Low,2022-09-08,1662620400
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,3.8,3.9,33.28,Low,2022-09-08,1662620400
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.7,10.9,97.50,Medium,2022-09-08,1662620400
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,5.1,10.6,170.55,Medium,2022-09-08,1662620400
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.2,13.7,161.44,Medium,2022-09-08,1662620400
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,3.0,5.3,0.00,Low,2022-09-08,1662620400
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,5.1,10.6,178.39,Medium,2022-09-08,1662620400
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.2,13.7,102.10,Medium,2022-09-08,1662620400
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,5.1,10.6,84.53,Medium,2022-09-08,1662620400
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.5,7.8,210.25,Medium,2022-09-08,1662620400
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,4.6,7.8,159.22,Low,2022-09-08,1662620400
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.1,12.1,269.50,High,2022-09-08,1662620400
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.7,10.9,81.91,Medium,2022-09-08,1662620400
Orange County,06059,California,3175692,825,"Orange, CA",3175692,4.1,9.2,100.83,Low,2022-09-08,1662620400
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,4.3,6.1,201.28,Medium,2022-09-08,1662620400
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.2,13.7,153.65,Medium,2022-09-08,1662620400
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.5,11.0,92.97,Medium,2022-09-08,1662620400
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.2,7.0,150.94,Low,2022-09-08,1662620400
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.4,6.6,155.70,Low,2022-09-08,1662620400
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.1,12.1,216.42,High,2022-09-08,1662620400
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.6,2.0,111.21,Low,2022-09-08,1662620400
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,4.0,5.8,204.04,Medium,2022-09-08,1662620400
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,3.8,3.9,154.38,Low,2022-09-08,1662620400
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.6,2.0,42.54,Low,2022-09-08,1662620400
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,4.3,6.1,140.54,Low,2022-09-08,1662620400
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.7,8.2,144.89,Low,2022-09-08,1662620400
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.3,8.5,120.09,Low,2022-09-08,1662620400
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,5.3,8.5,152.30,Low,2022-09-08,1662620400
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.7,8.2,120.50,Low,2022-09-08,1662620400
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,5.0,13.1,119.43,Medium,2022-09-08,1662620400
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.7,13.9,163.62,Medium,2022-09-08,1662620400
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.7,13.9,150.52,Medium,2022-09-08,1662620400
Ventura County,06111,California,846006,790,"Ventura, CA",846006,6.3,9.6,148.58,Low,2022-09-08,1662620400
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,2.1,4.5,0.00,Low,2022-09-22,1663830000
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,5.0,10.2,77.10,Medium,2022-09-22,1663830000
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.4,7.6,60.33,Low,2022-09-22,1663830000
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,5.0,10.2,59.87,Medium,2022-09-22,1663830000
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,3.5,6.3,143.48,Low,2022-09-22,1663830000
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,3.6,6.5,108.62,Low,2022-09-22,1663830000
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,7.4,8.8,99.79,Low,2022-09-22,1663830000
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,4.0,7.8,56.79,Low,2022-09-22,1663830000
Orange County,06059,California,3175692,825,"Orange, CA",3175692,2.8,7.9,56.59,Low,2022-09-22,1663830000
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,3.3,4.9,136.32,Low,2022-09-22,1663830000
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.4,7.6,85.59,Low,2022-09-22,1663830000
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.6,9.1,38.10,Low,2022-09-22,1663830000
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.1,5.5,78.50,Low,2022-09-22,1663830000
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.6,9.1,46.67,Low,2022-09-22,1663830000
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,7.4,8.8,72.26,Low,2022-09-22,1663830000
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,6.2,5.2,87.79,Low,2022-09-22,1663830000
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,199.57,Low,2022-09-22,1663830000
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,4.4,9.1,107.17,Low,2022-09-22,1663830000
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,5.2,10.6,75.57,Medium,2022-09-22,1663830000
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,5.2,10.6,85.71,Medium,2022-09-22,1663830000
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,96.93,Low,2022-09-22,1663830000
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.6,9.1,67.03,Low,2022-09-22,1663830000
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.6,9.1,65.65,Low,2022-09-22,1663830000
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.1,5.7,71.64,Low,2022-09-22,1663830000
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.8,4.6,77.23,Low,2022-09-22,1663830000
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,2.6,1.1,86.75,Low,2022-09-22,1663830000
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,4.4,9.1,75.95,Low,2022-09-22,1663830000
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,5.4,6.5,48.84,Low,2022-09-22,1663830000
Tulare County,06107,California,466195,789,"Tulare, CA",466195,7.6,5.6,72.72,Low,2022-09-22,1663830000
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.1,5.7,123.26,Low,2022-09-22,1663830000
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.1,5.5,92.33,Low,2022-09-22,1663830000
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,7.4,8.8,114.42,Low,2022-09-22,1663830000
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.9,8.1,39.25,Low,2022-09-22,1663830000
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,2.1,6.9,69.17,Low,2022-09-22,1663830000
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,2.5,4.9,46.11,Low,2022-09-22,1663830000
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.9,8.1,122.29,Low,2022-09-22,1663830000
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,3.3,4.9,62.50,Low,2022-09-22,1663830000
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.3,6.6,106.67,Low,2022-09-22,1663830000
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,3.9,3.6,103.85,Low,2022-09-22,1663830000
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,3.9,3.6,68.98,Low,2022-09-22,1663830000
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.3,6.6,68.31,Low,2022-09-22,1663830000
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,3.5,6.3,52.83,Low,2022-09-22,1663830000
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,5.2,10.6,124.94,Medium,2022-09-22,1663830000
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,5.2,10.6,113.81,Medium,2022-09-22,1663830000
Ventura County,06111,California,846006,790,"Ventura, CA",846006,4.5,7.1,86.41,Low,2022-09-22,1663830000
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.1,5.7,52.28,Low,2022-09-22,1663830000
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,2.7,6.1,82.70,Low,2022-09-22,1663830000
Kern County,06029,California,900202,807,"Kern, CA",900202,5.3,7.3,231.95,Medium,2022-09-22,1663830000
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,5.4,6.5,22.62,Low,2022-09-22,1663830000
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.3,6.6,55.06,Low,2022-09-22,1663830000
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,4.4,9.1,89.30,Low,2022-09-22,1663830000
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,3.5,6.3,94.75,Low,2022-09-22,1663830000
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.8,4.6,24.39,Low,2022-09-22,1663830000
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,5.4,6.5,108.29,Low,2022-09-22,1663830000
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,2.5,4.9,0.00,Low,2022-09-22,1663830000
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,4.0,7.8,62.71,Low,2022-09-22,1663830000
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,5.0,10.2,52.24,Medium,2022-09-22,1663830000
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.4,7.6,106.78,Low,2022-09-22,1663830000
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.4,7.4,93.64,Low,2022-09-15,1663225200
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,2.8,6.6,88.57,Low,2022-09-15,1663225200
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.8,5.9,90.56,Low,2022-09-15,1663225200
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,4.4,6.7,123.18,Low,2022-09-15,1663225200
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.8,5.9,47.93,Low,2022-09-15,1663225200
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.1,8.1,181.00,Low,2022-09-15,1663225200
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,4.4,7.4,135.67,Low,2022-09-15,1663225200
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,2.9,3.5,158.21,Low,2022-09-15,1663225200
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.2,10.3,71.56,Medium,2022-09-15,1663225200
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.2,11.7,131.12,Medium,2022-09-15,1663225200
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,4.4,6.7,81.01,Low,2022-09-15,1663225200
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,8.2,11.1,96.64,Medium,2022-09-15,1663225200
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.0,7.0,287.50,Medium,2022-09-15,1663225200
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.3,3.1,177.39,Low,2022-09-15,1663225200
Kern County,06029,California,900202,807,"Kern, CA",900202,6.3,9.8,223.62,Medium,2022-09-15,1663225200
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.2,11.7,143.85,Medium,2022-09-15,1663225200
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,5.2,6.3,79.21,Low,2022-09-15,1663225200
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.6,2.0,81.77,Low,2022-09-15,1663225200
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,4.2,8.0,130.54,Low,2022-09-15,1663225200
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.2,11.7,196.41,Medium,2022-09-15,1663225200
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.4,10.8,100.45,Medium,2022-09-15,1663225200
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.0,10.3,145.32,Medium,2022-09-15,1663225200
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,5.0,9.2,118.73,Low,2022-09-15,1663225200
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.0,10.3,136.49,Medium,2022-09-15,1663225200
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,5.5,11.4,56.55,Medium,2022-09-15,1663225200
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.3,3.1,69.23,Low,2022-09-15,1663225200
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.8,8.9,87.78,Low,2022-09-15,1663225200
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,5.2,6.3,95.10,Low,2022-09-15,1663225200
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,2.8,4.9,88.22,Low,2022-09-15,1663225200
Orange County,06059,California,3175692,825,"Orange, CA",3175692,3.7,8.2,88.52,Low,2022-09-15,1663225200
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.2,10.3,83.85,Medium,2022-09-15,1663225200
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.6,2.0,111.66,Low,2022-09-15,1663225200
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,3.8,6.1,123.29,Low,2022-09-15,1663225200
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.2,10.3,98.06,Medium,2022-09-15,1663225200
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.8,8.9,208.57,Medium,2022-09-15,1663225200
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,3.8,6.1,198.11,Low,2022-09-15,1663225200
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,4.0,7.0,91.00,Low,2022-09-15,1663225200
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.9,6.4,46.62,Low,2022-09-15,1663225200
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.8,5.9,115.20,Low,2022-09-15,1663225200
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,4.6,4.5,77.35,Low,2022-09-15,1663225200
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.9,6.4,94.05,Low,2022-09-15,1663225200
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,4.6,4.5,112.88,Low,2022-09-15,1663225200
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,4.8,8.9,102.08,Low,2022-09-15,1663225200
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,4.4,3.3,116.39,Low,2022-09-15,1663225200
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,5.5,11.4,110.51,Medium,2022-09-15,1663225200
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,2.8,4.9,0.00,Low,2022-09-15,1663225200
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,4.1,6.3,112.54,Low,2022-09-15,1663225200
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,5.2,6.3,107.45,Low,2022-09-15,1663225200
