county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.2,6.5,230.60,Medium,2022-08-11,1660201200
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.1,12.4,265.89,High,2022-08-11,1660201200
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,6.9,11.2,222.53,High,2022-08-11,1660201200
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,6.9,11.2,252.18,High,2022-08-11,1660201200
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.1,12.4,223.67,High,2022-08-11,1660201200
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,5.9,13.9,195.23,Medium,2022-08-11,1660201200
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.3,17.0,219.74,High,2022-08-11,1660201200
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.3,17.0,245.97,High,2022-08-11,1660201200
Ventura County,06111,California,846006,790,"Ventura, CA",846006,7.4,10.4,223.99,High,2022-08-11,1660201200
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,4.6,7.2,88.57,Low,2022-08-11,1660201200
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,6.7,14.4,168.81,Medium,2022-08-11,1660201200
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.7,7.6,55.69,Low,2022-08-11,1660201200
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,6.7,14.4,109.18,Medium,2022-08-11,1660201200
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.6,9.6,509.34,Medium,2022-08-11,1660201200
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,6.5,9.9,301.57,Medium,2022-08-11,1660201200
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,13.6,19.3,290.48,High,2022-08-11,1660201200
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,7.6,12.1,171.16,Medium,2022-08-11,1660201200
Orange County,06059,California,3175692,825,"Orange, CA",3175692,5.5,13.9,208.58,High,2022-08-11,1660201200
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.2,6.5,250.17,Medium,2022-08-11,1660201200
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.7,7.6,213.47,Medium,2022-08-11,1660201200
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.9,15.1,139.68,Medium,2022-08-11,1660201200
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.4,10.5,124.17,Medium,2022-08-11,1660201200
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,6.2,13.9,168.99,Medium,2022-08-11,1660201200
Kern County,06029,California,900202,807,"Kern, CA",900202,8.9,12.4,197.07,Medium,2022-08-11,1660201200
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,7.6,12.4,158.35,Medium,2022-08-11,1660201200
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.1,12.4,249.96,High,2022-08-11,1660201200
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,9.0,16.8,205.45,High,2022-08-11,1660201200
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.6,9.6,262.35,Medium,2022-08-11,1660201200
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.8,11.3,185.13,Medium,2022-08-11,1660201200
